Tamanho_N,Algoritmo,Repeticao,No_Fonte,Tempo_s,CO2_Emissoes_kg
19,Dijkstra Clássico (V^2),4,12,3.8623809814453125e-05,3.052936064255248e-09
17,Dijkstra Clássico (V^2),0,12,3.2901763916015625e-05,2.5814420405474953e-09
17,Dijkstra Min-Heap ((V+E)logV),0,12,5.91278076171875e-05,3.436442849831302e-09
17,NetworkX (Referência),0,12,0.0001266002655029297,3.2869456700854122e-09
17,Dijkstra Clássico (V^2),0,3,4.220008850097656e-05,2.7182370261527115e-09
17,Dijkstra Min-Heap ((V+E)logV),0,3,5.650520324707031e-05,3.274636730320495e-09
17,NetworkX (Referência),0,3,0.00013065338134765625,3.394270269026308e-09
17,Dijkstra Clássico (V^2),0,9,4.00543212890625e-05,3.169545474100279e-09
17,Dijkstra Min-Heap ((V+E)logV),0,9,9.465217590332031e-05,2.58503709550145e-09
17,NetworkX (Referência),0,9,0.00015425682067871094,2.852427714103862e-09
17,Dijkstra Clássico (V^2),0,1,6.818771362304688e-05,3.1522355339561737e-09
17,Dijkstra Min-Heap ((V+E)logV),0,1,7.104873657226562e-05,3.174570263272685e-09
17,NetworkX (Referência),0,1,0.0001316070556640625,3.232105090288695e-09
17,Dijkstra Clássico (V^2),0,16,3.504753112792969e-05,2.817281698031802e-09
17,Dijkstra Min-Heap ((V+E)logV),0,16,6.175041198730469e-05,2.98829680233919e-09
17,NetworkX (Referência),0,16,0.0001392364501953125,3.410416238993604e-09
17,Dijkstra Clássico (V^2),1,8,3.528594970703125e-05,2.9377221907752648e-09
17,Dijkstra Min-Heap ((V+E)logV),1,8,5.412101745605469e-05,3.3849469876552296e-09
17,NetworkX (Referência),1,8,0.000156402587890625,2.6680768565808343e-09
17,Dijkstra Clássico (V^2),1,11,4.172325134277344e-05,2.4196346197298545e-09
17,Dijkstra Min-Heap ((V+E)logV),1,11,6.532669067382812e-05,2.563883063489515e-09
17,NetworkX (Referência),1,11,0.00014090538024902344,3.241617936844144e-09
17,Dijkstra Clássico (V^2),1,4,3.886222839355469e-05,2.6467953327135305e-09
17,Dijkstra Min-Heap ((V+E)logV),1,4,5.412101745605469e-05,2.8318882841329203e-09
17,NetworkX (Referência),1,4,0.000133514404296875,3.300734150082426e-09
17,Dijkstra Clássico (V^2),1,3,4.124641418457031e-05,2.5245872330424184e-09
17,Dijkstra Min-Heap ((V+E)logV),1,3,6.461143493652344e-05,2.947792584240195e-09
17,NetworkX (Referência),1,3,0.00012421607971191406,2.9930736687479404e-09
17,Dijkstra Clássico (V^2),1,14,3.719329833984375e-05,2.6549319709128256e-09
17,Dijkstra Min-Heap ((V+E)logV),1,14,6.318092346191406e-05,2.560963010229316e-09
17,NetworkX (Referência),1,14,0.00014925003051757812,2.75550469013948e-09
17,Dijkstra Clássico (V^2),2,10,4.5299530029296875e-05,2.290018594543777e-09
17,Dijkstra Min-Heap ((V+E)logV),2,10,5.078315734863281e-05,2.8623719165976864e-09
17,NetworkX (Referência),2,10,0.00014400482177734375,3.048313636873892e-09
17,Dijkstra Clássico (V^2),2,16,4.6253204345703125e-05,1.6203756625729144e-08
17,Dijkstra Min-Heap ((V+E)logV),2,16,5.125999450683594e-05,2.5162208865297423e-09
17,NetworkX (Referência),2,16,0.00012421607971191406,3.467736224667259e-09
17,Dijkstra Clássico (V^2),2,11,3.3855438232421875e-05,2.71465498008364e-09
17,Dijkstra Min-Heap ((V+E)logV),2,11,5.030632019042969e-05,2.7178170079584067e-09
17,NetworkX (Referência),2,11,0.0001537799835205078,2.654553768720886e-09
17,Dijkstra Clássico (V^2),2,1,8.392333984375e-05,2.890952644213231e-09
17,Dijkstra Min-Heap ((V+E)logV),2,1,9.369850158691406e-05,2.340227083229363e-09
17,NetworkX (Referência),2,1,0.00012922286987304688,3.180627069813179e-09
17,Dijkstra Clássico (V^2),2,9,3.9577484130859375e-05,2.7717246281704437e-09
17,Dijkstra Min-Heap ((V+E)logV),2,9,5.626678466796875e-05,2.728531366008893e-09
17,NetworkX (Referência),2,9,0.0001316070556640625,3.1920792463575203e-09
17,Dijkstra Clássico (V^2),3,10,3.3855438232421875e-05,2.891122882149334e-09
17,Dijkstra Min-Heap ((V+E)logV),3,10,5.030632019042969e-05,2.743914985006733e-09
17,NetworkX (Referência),3,10,0.0001277923583984375,3.2534905041212213e-09
17,Dijkstra Clássico (V^2),3,14,3.3855438232421875e-05,2.5700500782318433e-09
17,Dijkstra Min-Heap ((V+E)logV),3,14,5.698204040527344e-05,2.319769426205094e-09
17,NetworkX (Referência),3,14,0.0001537799835205078,2.53414226834995e-09
17,Dijkstra Clássico (V^2),3,5,4.76837158203125e-05,2.445208689590567e-09
17,Dijkstra Min-Heap ((V+E)logV),3,5,5.626678466796875e-05,2.809485162278883e-09
17,NetworkX (Referência),3,5,0.00012421607971191406,3.2159987060795013e-09
17,Dijkstra Clássico (V^2),3,9,4.1961669921875e-05,2.7154385174439332e-09
17,Dijkstra Min-Heap ((V+E)logV),3,9,6.580352783203125e-05,2.8992777334044206e-09
17,NetworkX (Referência),3,9,0.00011897087097167969,3.0349537243126833e-09
17,Dijkstra Clássico (V^2),3,11,2.9802322387695312e-05,2.7049603726352274e-09
17,Dijkstra Min-Heap ((V+E)logV),3,11,5.459785461425781e-05,2.8194769421901156e-09
17,NetworkX (Referência),3,11,0.00012493133544921875,3.102125359582898e-09
17,Dijkstra Clássico (V^2),4,6,4.792213439941406e-05,2.520279076775914e-09
17,Dijkstra Min-Heap ((V+E)logV),4,6,0.00010967254638671875,2.48752177206547e-09
17,NetworkX (Referência),4,6,0.0001704692840576172,4.120048123850516e-09
17,Dijkstra Clássico (V^2),4,3,4.839897155761719e-05,2.9640797992217255e-09
17,Dijkstra Min-Heap ((V+E)logV),4,3,6.103515625e-05,3.3553374012194327e-09
17,NetworkX (Referência),4,3,0.00011849403381347656,2.9847608460692222e-09
17,Dijkstra Clássico (V^2),4,2,4.172325134277344e-05,2.9874454295164804e-09
17,Dijkstra Min-Heap ((V+E)logV),4,2,6.008148193359375e-05,2.9521275030152775e-09
17,NetworkX (Referência),4,2,0.0001819133758544922,3.3074568524226374e-09
17,Dijkstra Clássico (V^2),4,13,3.361701965332031e-05,2.8557614662653273e-09
17,Dijkstra Min-Heap ((V+E)logV),4,13,6.246566772460938e-05,9.210425970468158e-09
17,NetworkX (Referência),4,13,0.0001552104949951172,2.8965944512217383e-09
17,Dijkstra Clássico (V^2),4,14,4.1484832763671875e-05,2.547382866434972e-09
17,Dijkstra Min-Heap ((V+E)logV),4,14,8.630752563476562e-05,2.8503489979897632e-09
17,NetworkX (Referência),4,14,0.00012969970703125,3.1375196698583632e-09
17,Dijkstra Clássico (V^2),5,12,3.314018249511719e-05,2.861970111543688e-09
17,Dijkstra Min-Heap ((V+E)logV),5,12,5.1975250244140625e-05,3.7268519341940716e-09
17,NetworkX (Referência),5,12,0.0002448558807373047,4.304333191069371e-09
17,Dijkstra Clássico (V^2),5,15,3.147125244140625e-05,2.6672648847682652e-09
17,Dijkstra Min-Heap ((V+E)logV),5,15,4.887580871582031e-05,2.8853061916301794e-09
17,NetworkX (Referência),5,15,0.00012135505676269531,2.957648878608412e-09
17,Dijkstra Clássico (V^2),5,8,4.3392181396484375e-05,2.4743774429654856e-09
17,Dijkstra Min-Heap ((V+E)logV),5,8,6.413459777832031e-05,2.2623609755420088e-09
17,NetworkX (Referência),5,8,0.0001614093780517578,3.5940578983639563e-09
17,Dijkstra Clássico (V^2),5,6,3.719329833984375e-05,2.7631536615006124e-09
17,Dijkstra Min-Heap ((V+E)logV),5,6,6.127357482910156e-05,2.9339308790590103e-09
17,NetworkX (Referência),5,6,0.00012350082397460938,3.2269923954415923e-09
17,Dijkstra Clássico (V^2),5,0,5.173683166503906e-05,2.664637357128631e-09
17,Dijkstra Min-Heap ((V+E)logV),5,0,6.198883056640625e-05,2.650020735435418e-09
17,NetworkX (Referência),5,0,0.00013065338134765625,3.669434377805975e-09
17,Dijkstra Clássico (V^2),6,7,4.5299530029296875e-05,3.023696873480359e-09
17,Dijkstra Min-Heap ((V+E)logV),6,7,0.00010323524475097656,2.7429022958588253e-09
17,NetworkX (Referência),6,7,0.00015282630920410156,2.7041151332166535e-09
17,Dijkstra Clássico (V^2),6,14,3.838539123535156e-05,2.4380345615645296e-09
17,Dijkstra Min-Heap ((V+E)logV),6,14,6.127357482910156e-05,2.2955453599431797e-09
17,NetworkX (Referência),6,14,0.0001239776611328125,3.176157410022605e-09
17,Dijkstra Clássico (V^2),6,3,3.814697265625e-05,2.7753722780631846e-09
17,Dijkstra Min-Heap ((V+E)logV),6,3,7.414817810058594e-05,2.9306586434049807e-09
17,NetworkX (Referência),6,3,0.00013208389282226562,3.1123630161698874e-09
17,Dijkstra Clássico (V^2),6,0,4.458427429199219e-05,2.869030686339554e-09
17,Dijkstra Min-Heap ((V+E)logV),6,0,8.487701416015625e-05,3.222523478403745e-09
17,NetworkX (Referência),6,0,0.00013399124145507812,3.161432067450065e-09
17,Dijkstra Clássico (V^2),6,2,6.628036499023438e-05,3.210739748189702e-09
17,Dijkstra Min-Heap ((V+E)logV),6,2,0.0001456737518310547,8.430741983176993e-09
17,NetworkX (Referência),6,2,0.00015425682067871094,2.859393691689361e-09
17,Dijkstra Clássico (V^2),7,15,3.075599670410156e-05,2.5639064804204143e-09
17,Dijkstra Min-Heap ((V+E)logV),7,15,9.250640869140625e-05,3.134498886702032e-09
17,NetworkX (Referência),7,15,0.0001316070556640625,3.2383245145457343e-09
17,Dijkstra Clássico (V^2),7,0,4.315376281738281e-05,2.769382377625108e-09
17,Dijkstra Min-Heap ((V+E)logV),7,0,9.72747802734375e-05,3.221812608053829e-09
17,NetworkX (Referência),7,0,0.00012350082397460938,3.2460472672364905e-09
17,Dijkstra Clássico (V^2),7,9,3.62396240234375e-05,2.9301557370151008e-09
17,Dijkstra Min-Heap ((V+E)logV),7,9,5.793571472167969e-05,3.0114323518243888e-09
17,NetworkX (Referência),7,9,0.00015997886657714844,3.1656417241492133e-09
17,Dijkstra Clássico (V^2),7,3,4.9114227294921875e-05,2.6906225240798273e-09
17,Dijkstra Min-Heap ((V+E)logV),7,3,9.441375732421875e-05,6.661444620933679e-09
17,NetworkX (Referência),7,3,0.00012135505676269531,3.0116235906004836e-09
17,Dijkstra Clássico (V^2),7,14,3.600120544433594e-05,2.8452740300539934e-09
17,Dijkstra Min-Heap ((V+E)logV),7,14,5.0067901611328125e-05,2.7808172708962274e-09
17,NetworkX (Referência),7,14,0.00013208389282226562,4.138192151727056e-09
17,Dijkstra Clássico (V^2),8,6,3.8623809814453125e-05,2.7909683221011855e-09
17,Dijkstra Min-Heap ((V+E)logV),8,6,5.7220458984375e-05,3.0964772340419787e-09
17,NetworkX (Referência),8,6,0.0001289844512939453,3.3666732372987452e-09
17,Dijkstra Clássico (V^2),8,16,4.100799560546875e-05,2.4555528375309917e-09
17,Dijkstra Min-Heap ((V+E)logV),8,16,6.270408630371094e-05,2.477011661633706e-09
17,NetworkX (Referência),8,16,0.00015997886657714844,3.2213821824896227e-09
17,Dijkstra Clássico (V^2),8,3,3.981590270996094e-05,2.8533482232732523e-09
17,Dijkstra Min-Heap ((V+E)logV),8,3,6.103515625e-05,2.8819068352647306e-09
17,NetworkX (Referência),8,3,0.00013375282287597656,3.064253129738832e-09
17,Dijkstra Clássico (V^2),8,1,5.054473876953125e-05,2.8137074576063648e-09
17,Dijkstra Min-Heap ((V+E)logV),8,1,7.176399230957031e-05,2.7112721633512875e-09
17,NetworkX (Referência),8,1,0.00012636184692382812,3.139809138435069e-09
17,Dijkstra Clássico (V^2),8,13,3.1948089599609375e-05,2.9181107022337704e-09
17,Dijkstra Min-Heap ((V+E)logV),8,13,4.982948303222656e-05,2.8541613102079522e-09
17,NetworkX (Referência),8,13,0.00015044212341308594,2.7641732271434386e-09
17,Dijkstra Clássico (V^2),9,16,3.933906555175781e-05,2.441854865695569e-09
17,Dijkstra Min-Heap ((V+E)logV),9,16,6.318092346191406e-05,2.4874412992846888e-09
17,NetworkX (Referência),9,16,0.00012636184692382812,3.1089666325056276e-09
17,Dijkstra Clássico (V^2),9,11,3.218650817871094e-05,2.776867244961357e-09
17,Dijkstra Min-Heap ((V+E)logV),9,11,5.745887756347656e-05,3.614650667463152e-09
17,NetworkX (Referência),9,11,0.00016021728515625,3.495228996426591e-09
17,Dijkstra Clássico (V^2),9,14,3.075599670410156e-05,3.011495354428876e-09
17,Dijkstra Min-Heap ((V+E)logV),9,14,5.245208740234375e-05,3.030980095219955e-09
17,NetworkX (Referência),9,14,0.000156402587890625,2.985205768094362e-09
17,Dijkstra Clássico (V^2),9,3,4.1484832763671875e-05,2.66177231456007e-09
17,Dijkstra Min-Heap ((V+E)logV),9,3,7.2479248046875e-05,2.49908490117014e-09
17,NetworkX (Referência),9,3,0.0001480579376220703,2.7552203421938954e-09
17,Dijkstra Clássico (V^2),9,4,4.7206878662109375e-05,2.463667359303336e-09
17,Dijkstra Min-Heap ((V+E)logV),9,4,5.245208740234375e-05,3.3172005222445702e-09
17,NetworkX (Referência),9,4,0.00015854835510253906,3.3542881006626385e-09
17,Dijkstra Clássico (V^2),10,3,3.9577484130859375e-05,3.2136060907973845e-09
17,Dijkstra Min-Heap ((V+E)logV),10,3,5.3882598876953125e-05,3.096888516556537e-09
17,NetworkX (Referência),10,3,0.0001266002655029297,3.856478553315067e-09
17,Dijkstra Clássico (V^2),10,9,3.981590270996094e-05,3.055491668440116e-09
17,Dijkstra Min-Heap ((V+E)logV),10,9,5.793571472167969e-05,2.7664223671248013e-09
17,NetworkX (Referência),10,9,0.00016427040100097656,3.5568179250625674e-09
17,Dijkstra Clássico (V^2),10,2,5.1975250244140625e-05,2.4084863044795526e-09
17,Dijkstra Min-Heap ((V+E)logV),10,2,8.034706115722656e-05,2.65289692778855e-09
17,NetworkX (Referência),10,2,0.0001811981201171875,8.972977980561466e-09
17,Dijkstra Clássico (V^2),10,11,2.8371810913085938e-05,2.8940931146799822e-09
17,Dijkstra Min-Heap ((V+E)logV),10,11,5.459785461425781e-05,2.9157011746110966e-09
17,NetworkX (Referência),10,11,0.00012183189392089844,3.1479323960139314e-09
17,Dijkstra Clássico (V^2),10,10,2.9087066650390625e-05,2.5139016813910426e-09
17,Dijkstra Min-Heap ((V+E)logV),10,10,5.888938903808594e-05,2.583553467107976e-09
17,NetworkX (Referência),10,10,0.000125885009765625,3.315790490094701e-09
17,Dijkstra Clássico (V^2),11,12,3.075599670410156e-05,3.2698909000480328e-09
17,Dijkstra Min-Heap ((V+E)logV),11,12,6.175041198730469e-05,2.3098425077028617e-09
17,NetworkX (Referência),11,12,0.00015044212341308594,2.7025467571047198e-09
17,Dijkstra Clássico (V^2),11,14,3.504753112792969e-05,2.367751820189182e-09
17,Dijkstra Min-Heap ((V+E)logV),11,14,4.57763671875e-05,2.6831333822284686e-09
17,NetworkX (Referência),11,14,0.0001609325408935547,2.914916336324284e-09
17,Dijkstra Clássico (V^2),11,1,4.601478576660156e-05,2.6603399792492065e-09
17,Dijkstra Min-Heap ((V+E)logV),11,1,6.747245788574219e-05,2.9819060252352023e-09
17,NetworkX (Referência),11,1,0.00013136863708496094,3.7305702072911735e-09
17,Dijkstra Clássico (V^2),11,8,3.600120544433594e-05,3.138966873238939e-09
17,Dijkstra Min-Heap ((V+E)logV),11,8,5.4836273193359375e-05,2.8846181799951123e-09
17,NetworkX (Referência),11,8,0.0001647472381591797,3.323742022372695e-09
17,Dijkstra Clássico (V^2),11,3,4.696846008300781e-05,2.500910305686228e-09
17,Dijkstra Min-Heap ((V+E)logV),11,3,6.818771362304688e-05,2.5067836796436024e-09
17,NetworkX (Referência),11,3,0.00012922286987304688,2.8903835760371724e-09
17,Dijkstra Clássico (V^2),12,10,2.7894973754882812e-05,3.334175935679727e-09
17,Dijkstra Min-Heap ((V+E)logV),12,10,4.887580871582031e-05,2.831484619894094e-09
17,NetworkX (Referência),12,10,0.0001201629638671875,3.1500363877789285e-09
17,Dijkstra Clássico (V^2),12,16,3.075599670410156e-05,4.160961208964761e-09
17,Dijkstra Min-Heap ((V+E)logV),12,16,7.390975952148438e-05,2.5583412440469843e-09
17,NetworkX (Referência),12,16,0.00012612342834472656,3.161501017527528e-09
17,Dijkstra Clássico (V^2),12,6,4.00543212890625e-05,3.121345264889449e-09
17,Dijkstra Min-Heap ((V+E)logV),12,6,7.081031799316406e-05,2.653431057344562e-09
17,NetworkX (Referência),12,6,0.00015616416931152344,3.465553991253142e-09
17,Dijkstra Clássico (V^2),12,3,5.0067901611328125e-05,2.616178261173962e-09
17,Dijkstra Min-Heap ((V+E)logV),12,3,5.3882598876953125e-05,2.8824435664202392e-09
17,NetworkX (Referência),12,3,0.00013184547424316406,3.317343812163506e-09
17,Dijkstra Clássico (V^2),12,7,3.9577484130859375e-05,2.7241319576871292e-09
17,Dijkstra Min-Heap ((V+E)logV),12,7,6.413459777832031e-05,2.7119506966806534e-09
17,NetworkX (Referência),12,7,0.00012826919555664062,3.1999207566183826e-09
17,Dijkstra Clássico (V^2),13,11,3.24249267578125e-05,2.875380947099985e-09
17,Dijkstra Min-Heap ((V+E)logV),13,11,4.792213439941406e-05,2.998956335248885e-09
17,NetworkX (Referência),13,11,0.0001385211944580078,3.1660173239810282e-09
17,Dijkstra Clássico (V^2),13,14,3.62396240234375e-05,2.183819122943343e-09
17,Dijkstra Min-Heap ((V+E)logV),13,14,5.698204040527344e-05,2.6241918673725576e-09
17,NetworkX (Referência),13,14,0.00015997886657714844,2.8827637832755256e-09
17,Dijkstra Clássico (V^2),13,0,6.866455078125e-05,2.7425542018799142e-09
17,Dijkstra Min-Heap ((V+E)logV),13,0,5.841255187988281e-05,3.120559682877997e-09
17,NetworkX (Referência),13,0,0.00012087821960449219,3.2197801681348193e-09
17,Dijkstra Clássico (V^2),13,16,4.696846008300781e-05,3.042607899337638e-09
17,Dijkstra Min-Heap ((V+E)logV),13,16,6.866455078125e-05,2.7556202880630667e-09
17,NetworkX (Referência),13,16,0.0001251697540283203,3.0778667256336e-09
17,Dijkstra Clássico (V^2),13,6,4.982948303222656e-05,2.981394570787019e-09
17,Dijkstra Min-Heap ((V+E)logV),13,6,5.364418029785156e-05,2.829376910646841e-09
17,NetworkX (Referência),13,6,0.00015497207641601562,6.308609360302437e-09
17,Dijkstra Clássico (V^2),14,14,3.2901763916015625e-05,2.2240947469636902e-09
17,Dijkstra Min-Heap ((V+E)logV),14,14,6.318092346191406e-05,3.390380272572165e-09
17,NetworkX (Referência),14,14,0.00012540817260742188,3.3096665925348004e-09
17,Dijkstra Clássico (V^2),14,4,3.123283386230469e-05,2.549232803426661e-09
17,Dijkstra Min-Heap ((V+E)logV),14,4,4.839897155761719e-05,2.8253915732576913e-09
17,NetworkX (Referência),14,4,0.00012183189392089844,3.245099067804292e-09
17,Dijkstra Clássico (V^2),14,11,3.266334533691406e-05,2.7680321875458085e-09
